date,rate
2013-09-06 00:00:00,0.08143
2013-09-09 00:00:00,0.08357
2013-09-10 00:00:00,0.08643
2013-09-11 00:00:00,0.09214
2013-09-12 00:00:00,0.095
2013-09-13 00:00:00,0.09357
2013-09-16 00:00:00,0.09
2013-09-17 00:00:00,0.08929
2013-09-18 00:00:00,0.09071
2013-09-19 00:00:00,0.09429
2013-09-23 00:00:00,0.09357
2013-09-24 00:00:00,0.09929
2013-09-25 00:00:00,0.09929
2013-09-26 00:00:00,0.09429
2013-09-27 00:00:00,0.095
2013-09-30 00:00:00,0.09929
2013-10-02 00:00:00,0.10071
2013-10-03 00:00:00,0.10286
2013-10-04 00:00:00,0.10214
2013-10-07 00:00:00,0.10214
2013-10-08 00:00:00,0.10143
2013-10-09 00:00:00,0.10286
2013-10-10 00:00:00,0.10286
2013-10-11 00:00:00,0.09786
2013-10-15 00:00:00,0.09857
2013-10-16 00:00:00,0.09786
2013-10-17 00:00:00,0.09786
2013-10-18 00:00:00,0.09643
2013-10-21 00:00:00,0.09714
2013-10-22 00:00:00,0.09786
2013-10-23 00:00:00,0.09357
2013-10-24 00:00:00,0.09143
2013-10-25 00:00:00,0.09357
2013-10-28 00:00:00,0.09357
2013-10-29 00:00:00,0.09071
2013-10-30 00:00:00,0.08786
2013-10-31 00:00:00,0.09071
2013-11-01 00:00:00,0.09286
2013-11-04 00:00:00,0.08548
2013-11-05 00:00:00,0.09014
2013-11-06 00:00:00,0.08513
2013-11-07 00:00:00,0.07857
2013-11-08 00:00:00,0.08898
2013-11-11 00:00:00,0.08143
2013-11-12 00:00:00,0.07571
2013-11-13 00:00:00,0.06789
2013-11-14 00:00:00,0.06393
2013-11-15 00:00:00,0.06036
2013-11-18 00:00:00,0.06504
2013-11-19 00:00:00,0.06481
2013-11-20 00:00:00,0.06546
2013-11-21 00:00:00,0.07055
2013-11-22 00:00:00,0.07133
2013-11-25 00:00:00,0.07857
2013-11-26 00:00:00,0.07071
2013-11-27 00:00:00,0.07845
2013-11-28 00:00:00,0.07429
2013-11-29 00:00:00,0.06857
2013-12-02 00:00:00,0.06714
2013-12-03 00:00:00,0.06904
2013-12-04 00:00:00,0.07143
2013-12-05 00:00:00,0.07128
2013-12-06 00:00:00,0.06661
2013-12-09 00:00:00,0.06624
2013-12-10 00:00:00,0.06786
2013-12-11 00:00:00,0.0691
2013-12-12 00:00:00,0.07
2013-12-13 00:00:00,0.07248
2013-12-16 00:00:00,0.07714
2013-12-17 00:00:00,0.07214
2013-12-18 00:00:00,0.07357
2013-12-19 00:00:00,0.07286
2013-12-20 00:00:00,0.06786
2013-12-23 00:00:00,0.07096
2013-12-24 00:00:00,0.07734
2013-12-27 00:00:00,0.07594
2013-12-30 00:00:00,0.075
2013-12-31 00:00:00,0.08286
2014-01-02 00:00:00,0.07929
2014-01-03 00:00:00,0.07357
2014-01-06 00:00:00,0.06429
2014-01-07 00:00:00,0.06524
2014-01-08 00:00:00,0.06357
2014-01-09 00:00:00,0.06068
2014-01-10 00:00:00,0.07008
2014-01-13 00:00:00,0.07165
2014-01-14 00:00:00,0.0697
2014-01-15 00:00:00,0.06873
2014-01-16 00:00:00,0.06307
2014-01-17 00:00:00,0.07143
2014-01-20 00:00:00,0.06857
2014-01-21 00:00:00,0.06429
2014-01-22 00:00:00,0.06357
2014-01-23 00:00:00,0.06429
2014-01-24 00:00:00,0.07
2014-01-27 00:00:00,0.06194
2014-01-28 00:00:00,0.05786
2014-01-29 00:00:00,0.06
2014-01-30 00:00:00,0.06341
2014-02-04 00:00:00,0.06429
2014-02-05 00:00:00,0.06264
2014-02-06 00:00:00,0.06519
2014-02-07 00:00:00,0.06571
2014-02-10 00:00:00,0.06429
2014-02-11 00:00:00,0.0577
2014-02-12 00:00:00,0.05705
2014-02-13 00:00:00,0.05821
2014-02-14 00:00:00,0.05714
2014-02-17 00:00:00,0.05929
2014-02-18 00:00:00,0.06237
2014-02-19 00:00:00,0.06352
2014-02-20 00:00:00,0.05821
2014-02-21 00:00:00,0.06095
2014-02-24 00:00:00,0.06
2014-02-25 00:00:00,0.05786
2014-02-26 00:00:00,0.05654
2014-02-27 00:00:00,0.05949
2014-02-28 00:00:00,0.07119
2014-03-03 00:00:00,0.06429
2014-03-04 00:00:00,0.065
2014-03-05 00:00:00,0.06071
2014-03-06 00:00:00,0.05644
2014-03-07 00:00:00,0.05831
2014-03-10 00:00:00,0.05959
2014-03-11 00:00:00,0.05599
2014-03-12 00:00:00,0.055
2014-03-13 00:00:00,0.0561
2014-03-14 00:00:00,0.05456
2014-03-17 00:00:00,0.05879
2014-03-18 00:00:00,0.05651
2014-03-19 00:00:00,0.05691
2014-03-20 00:00:00,0.05609
2014-03-21 00:00:00,0.055
2014-03-24 00:00:00,0.05834
2014-03-25 00:00:00,0.05599
2014-03-26 00:00:00,0.05927
2014-03-27 00:00:00,0.05654
2014-03-28 00:00:00,0.05286
2014-03-31 00:00:00,0.05941
2014-04-01 00:00:00,0.05809
2014-04-02 00:00:00,0.05456
2014-04-03 00:00:00,0.05661
2014-04-04 00:00:00,0.05431
2014-04-07 00:00:00,0.05661
2014-04-08 00:00:00,0.05934
2014-04-09 00:00:00,0.06406
2014-04-10 00:00:00,0.06643
2014-04-11 00:00:00,0.06429
2014-04-14 00:00:00,0.05544
2014-04-15 00:00:00,0.05846
2014-04-16 00:00:00,0.05714
2014-04-17 00:00:00,0.05929
2014-04-22 00:00:00,0.06786
2014-04-23 00:00:00,0.08
2014-04-24 00:00:00,0.07071
2014-04-25 00:00:00,0.06571
2014-04-28 00:00:00,0.05929
2014-04-29 00:00:00,0.06451
2014-04-30 00:00:00,0.06143
2014-05-02 00:00:00,0.06143
2014-05-05 00:00:00,0.05934
2014-05-07 00:00:00,0.06214
2014-05-08 00:00:00,0.05889
2014-05-09 00:00:00,0.06357
2014-05-12 00:00:00,0.06158
2014-05-13 00:00:00,0.06366
2014-05-14 00:00:00,0.06357
2014-05-15 00:00:00,0.05719
2014-05-16 00:00:00,0.0574
2014-05-19 00:00:00,0.05643
2014-05-20 00:00:00,0.05663
2014-05-21 00:00:00,0.06211
2014-05-22 00:00:00,0.05929
2014-05-23 00:00:00,0.06152
2014-05-26 00:00:00,0.06286
2014-05-27 00:00:00,0.06214
2014-05-28 00:00:00,0.05786
2014-05-29 00:00:00,0.05706
2014-05-30 00:00:00,0.05734
2014-06-03 00:00:00,0.06
2014-06-04 00:00:00,0.05824
2014-06-05 00:00:00,0.06
2014-06-06 00:00:00,0.05945
2014-06-09 00:00:00,0.05676
2014-06-10 00:00:00,0.05731
2014-06-11 00:00:00,0.05429
2014-06-12 00:00:00,0.05929
2014-06-13 00:00:00,0.05507
2014-06-16 00:00:00,0.06176
2014-06-17 00:00:00,0.06857
2014-06-18 00:00:00,0.07245
2014-06-19 00:00:00,0.06214
2014-06-20 00:00:00,0.06933
2014-06-23 00:00:00,0.075
2014-06-24 00:00:00,0.06929
2014-06-25 00:00:00,0.06657
2014-06-26 00:00:00,0.07214
2014-06-27 00:00:00,0.07926
2014-06-30 00:00:00,0.19857
2014-07-02 00:00:00,0.20357
2014-07-03 00:00:00,0.17929
2014-07-04 00:00:00,0.085
2014-07-07 00:00:00,0.08
2014-07-08 00:00:00,0.07214
2014-07-09 00:00:00,0.06786
2014-07-10 00:00:00,0.07108
2014-07-11 00:00:00,0.07143
2014-07-14 00:00:00,0.06714
2014-07-15 00:00:00,0.07029
2014-07-16 00:00:00,0.06809
2014-07-17 00:00:00,0.06786
2014-07-18 00:00:00,0.05981
2014-07-21 00:00:00,0.05964
2014-07-22 00:00:00,0.06073
2014-07-23 00:00:00,0.05611
2014-07-24 00:00:00,0.06286
2014-07-25 00:00:00,0.06231
2014-07-28 00:00:00,0.05929
2014-07-29 00:00:00,0.05578
2014-07-30 00:00:00,0.05634
2014-07-31 00:00:00,0.05931
2014-08-01 00:00:00,0.05214
2014-08-04 00:00:00,0.05364
2014-08-05 00:00:00,0.05681
2014-08-06 00:00:00,0.05385
2014-08-07 00:00:00,0.05401
2014-08-08 00:00:00,0.04838
2014-08-11 00:00:00,0.04929
2014-08-12 00:00:00,0.04475
2014-08-13 00:00:00,0.0452
2014-08-14 00:00:00,0.04142
2014-08-15 00:00:00,0.04137
2014-08-18 00:00:00,0.0457
2014-08-19 00:00:00,0.04934
2014-08-20 00:00:00,0.04021
2014-08-21 00:00:00,0.0362
2014-08-22 00:00:00,0.04267
2014-08-25 00:00:00,0.04409
2014-08-26 00:00:00,0.04929
2014-08-27 00:00:00,0.04857
2014-08-28 00:00:00,0.04881
2014-08-29 00:00:00,0.05071
2014-09-01 00:00:00,0.05162
2014-09-02 00:00:00,0.04857
2014-09-03 00:00:00,0.04055
2014-09-04 00:00:00,0.0375
2014-09-05 00:00:00,0.04099
2014-09-08 00:00:00,0.04084
2014-09-10 00:00:00,0.045
2014-09-11 00:00:00,0.04143
2014-09-12 00:00:00,0.03759
2014-09-15 00:00:00,0.04131
2014-09-16 00:00:00,0.0385
2014-09-17 00:00:00,0.04574
2014-09-18 00:00:00,0.03929
2014-09-19 00:00:00,0.03956
2014-09-22 00:00:00,0.04714
2014-09-23 00:00:00,0.04315
2014-09-24 00:00:00,0.04071
2014-09-25 00:00:00,0.05286
2014-09-26 00:00:00,0.05357
2014-09-29 00:00:00,0.06
2014-09-30 00:00:00,0.05929
2014-10-03 00:00:00,0.05866
2014-10-06 00:00:00,0.05498
2014-10-07 00:00:00,0.05692
2014-10-08 00:00:00,0.04732
2014-10-09 00:00:00,0.04751
2014-10-10 00:00:00,0.0479
2014-10-13 00:00:00,0.04698
2014-10-14 00:00:00,0.04683
2014-10-15 00:00:00,0.03825
2014-10-16 00:00:00,0.04326
2014-10-17 00:00:00,0.04303
2014-10-20 00:00:00,0.04781
2014-10-21 00:00:00,0.04526
2014-10-22 00:00:00,0.04467
2014-10-23 00:00:00,0.0472
2014-10-24 00:00:00,0.04897
2014-10-27 00:00:00,0.05219
2014-10-28 00:00:00,0.05256
2014-10-29 00:00:00,0.05683
2014-10-30 00:00:00,0.05715
2014-10-31 00:00:00,0.04979
2014-11-03 00:00:00,0.05586
2014-11-04 00:00:00,0.04615
2014-11-05 00:00:00,0.05493
2014-11-06 00:00:00,0.05329
2014-11-07 00:00:00,0.05061
2014-11-10 00:00:00,0.05587
2014-11-11 00:00:00,0.05702
2014-11-12 00:00:00,0.04901
2014-11-13 00:00:00,0.04915
2014-11-14 00:00:00,0.05388
2014-11-17 00:00:00,0.05929
2014-11-18 00:00:00,0.05684
2014-11-19 00:00:00,0.05357
2014-11-20 00:00:00,0.04857
2014-11-21 00:00:00,0.05684
2014-11-24 00:00:00,0.05334
2014-11-25 00:00:00,0.04809
2014-11-26 00:00:00,0.05286
2014-11-27 00:00:00,0.05174
2014-11-28 00:00:00,0.05929
2014-12-01 00:00:00,0.06143
2014-12-02 00:00:00,0.05833
2014-12-03 00:00:00,0.14714
2014-12-04 00:00:00,0.11857
2014-12-05 00:00:00,0.10429
2014-12-08 00:00:00,0.16643
2014-12-09 00:00:00,0.13683
2014-12-10 00:00:00,0.09032
2014-12-11 00:00:00,0.05929
2014-12-12 00:00:00,0.05592
2014-12-15 00:00:00,0.05629
2014-12-16 00:00:00,0.06
2014-12-17 00:00:00,0.06
2014-12-18 00:00:00,0.05786
2014-12-19 00:00:00,0.05724
2014-12-22 00:00:00,0.05224
2014-12-23 00:00:00,0.06196
2014-12-24 00:00:00,0.06429
2014-12-29 00:00:00,0.05857
2014-12-30 00:00:00,0.05409
2014-12-31 00:00:00,0.05334
2015-01-02,0.05661
2015-01-05,0.05751
2015-01-06,0.05089
2015-01-07,0.05006
2015-01-08,0.05181
2015-01-09,0.05294
2015-01-12,0.05141
2015-01-13,0.05024
2015-01-14,0.05026
2015-01-15,0.0466
2015-01-16,0.05429
2015-01-19,0.04597
2015-01-20,0.04783
2015-01-21,0.05157
2015-01-22,0.04884
2015-01-23,0.05229
2015-01-26,0.0588
2015-01-27,0.05985
2015-01-28,0.05643
2015-01-29,0.05918
2015-01-30,0.07369
2015-02-02,0.06214
2015-02-03,0.05899
2015-02-04,0.05659
2015-02-05,0.04949
2015-02-06,0.05143
2015-02-09,0.05357
2015-02-10,0.05026
2015-02-11,0.05369
2015-02-12,0.04694
2015-02-13,0.05482
2015-02-16,0.05117
2015-02-17,0.05169
2015-02-18,0.05246
2015-02-23,0.05234
2015-02-24,0.05231
2015-02-25,0.05028
2015-02-26,0.0523
2015-02-27,0.06304
2015-03-02,0.05929
2015-03-03,0.06732
2015-03-04,0.06186
2015-03-05,0.06214
2015-03-06,0.05873
2015-03-09,0.06103
2015-03-10,0.06103
2015-03-11,0.05804
2015-03-12,0.06109
2015-03-13,0.06096
2015-03-16,0.05886
2015-03-17,0.05914
2015-03-18,0.05429
2015-03-19,0.05623
2015-03-20,0.05599
2015-03-23,0.05711
2015-03-24,0.05651
2015-03-25,0.06106
2015-03-26,0.06069
2015-03-27,0.05799
2015-03-30,0.05442
2015-03-31,0.05942
2015-04-01,0.05978
2015-04-02,0.05964
2015-04-08,0.06076
2015-04-09,0.06286
2015-04-10,0.06423
2015-04-13,0.07876
2015-04-14,0.075
2015-04-15,0.06359
2015-04-16,0.055
2015-04-17,0.05429
2015-04-20,0.05512
2015-04-21,0.05299
2015-04-22,0.05305
2015-04-23,0.05214
2015-04-24,0.04922
2015-04-27,0.04713
2015-04-28,0.04682
2015-04-29,0.05087
2015-04-30,0.04967
2015-05-04,0.04159
2015-05-05,0.04407
2015-05-06,0.04634
2015-05-07,0.04512
2015-05-08,0.04357
2015-05-11,0.04799
